sex,age,race,priors_count,length_of_stay,juv_fel_count,juv_misd_count,juv_other_count
0,31,0,6,0,0,0,0
0,42,0,0,33,0,0,0
0,23,0,1,9,0,0,1
0,44,1,1,0,0,0,0
0,24,0,3,0,0,1,0
1,42,1,4,0,0,0,0
0,50,0,15,1,0,0,0
0,24,0,3,44,0,0,3
0,34,0,27,0,0,1,0
0,37,0,11,1,0,0,0
1,41,0,5,0,0,0,0
1,20,1,0,0,0,0,0
0,34,1,4,1,0,0,0
0,32,1,4,1,0,0,0
0,30,0,4,1,0,0,0
0,23,0,1,1,0,0,0
0,30,0,0,0,0,0,0
0,21,1,1,36,1,0,1
0,24,1,3,17,0,0,0
0,30,0,2,1,0,0,0
0,22,0,3,128,0,0,0
0,22,0,3,0,0,1,0
0,25,0,9,2,0,0,1
1,29,1,2,8,0,0,0
0,56,0,4,2,0,0,0
0,25,1,2,1,0,0,0
0,25,1,9,6,0,0,0
0,48,0,7,4,0,0,0
0,27,1,2,0,0,0,0
0,21,0,1,-1,0,1,0
0,22,0,0,9,0,0,0
0,22,0,3,106,0,0,0
0,47,1,5,0,0,0,0
0,31,0,7,1,0,0,0
0,26,1,2,0,0,0,0
0,53,1,9,117,0,0,0
0,27,0,1,5,0,0,0
0,39,0,19,0,0,0,0
0,55,0,8,2,0,0,0
0,32,1,0,0,0,0,0
0,24,0,1,0,0,0,1
0,29,0,2,1,0,0,0
0,32,0,10,0,0,0,0
0,24,0,1,6,0,0,2
0,29,0,1,1,0,0,0
0,24,0,0,9,0,0,0
0,22,0,11,0,0,0,0
0,29,0,10,108,0,0,0
0,46,1,0,78,0,0,0
0,25,0,6,0,0,0,0
0,23,0,5,1,1,0,0
0,26,0,1,22,0,0,0
0,24,0,0,6,0,0,2
1,42,1,3,0,0,0,0
1,25,0,0,1,0,0,0
0,26,0,10,1,0,1,0
0,25,0,0,4,0,0,0
0,29,0,1,290,0,0,0
0,24,0,3,0,2,1,0
0,47,0,14,31,0,0,0
0,54,0,10,30,0,0,0
0,20,1,0,1,0,0,0
0,27,0,10,0,0,1,0
0,44,1,6,270,0,0,0
0,58,1,1,79,0,0,0
0,56,0,22,71,0,0,0
0,28,0,5,3,0,0,0
0,21,0,2,8,0,1,0
0,25,0,5,155,0,1,2
0,33,0,0,45,0,0,0
0,28,0,6,5,0,0,0
0,27,0,6,34,0,0,0
0,24,0,2,2,0,0,0
1,34,0,14,3,0,0,0
0,35,0,22,2,0,0,0
0,25,0,5,3,0,0,0
0,44,0,10,5,0,0,0
0,56,1,1,0,0,0,0
1,23,1,5,0,0,0,4
0,21,0,3,0,1,2,2
0,22,1,1,0,0,0,0
0,26,0,3,3,1,0,0
0,28,1,1,0,0,0,0
0,25,1,2,29,0,0,0
0,34,1,3,0,0,0,1
0,29,0,2,1,0,0,0
0,28,0,0,1,0,0,0
0,27,0,7,10,0,0,0
0,58,0,12,3,0,0,0
1,35,1,1,28,0,0,0
0,20,0,1,0,1,0,0
0,31,0,0,1,0,0,0
0,26,1,0,1,0,0,0
0,23,0,1,1,0,0,0
0,33,0,14,0,0,0,0
0,43,0,8,1,0,0,0
0,32,1,3,86,0,0,0
0,61,1,10,22,0,0,0
0,27,0,5,64,0,0,0
0,29,0,7,8,0,0,0
0,36,1,5,0,0,0,0
1,32,1,5,4,0,0,0
0,23,0,1,0,0,0,1
0,40,1,3,40,0,0,0
0,31,1,3,0,0,0,0
0,30,0,20,317,2,0,0
0,25,0,4,0,0,0,0
0,22,0,2,16,0,0,0
0,24,0,1,141,0,0,0
1,51,1,5,32,0,0,0
0,30,0,9,50,0,0,0
0,23,1,4,-1,0,0,4
0,28,0,12,76,0,8,2
0,30,0,8,1,0,0,0
0,28,0,2,6,0,0,0
0,24,1,0,0,0,0,0
0,33,1,0,0,0,0,0
0,24,0,4,4,0,0,1
1,25,1,2,1,0,0,0
0,30,1,3,25,0,0,0
1,21,0,0,77,0,0,0
0,37,0,4,1,0,0,0
1,31,0,14,1,0,0,0
0,39,1,0,2,0,0,0
0,21,0,1,0,0,0,0
0,25,0,4,9,0,0,0
0,24,1,6,7,0,0,2
0,26,0,3,47,0,0,0
0,64,0,20,2,0,0,0
1,37,0,23,-1,0,0,0
0,20,0,0,1,0,0,0
0,21,0,0,46,0,0,0
0,21,0,0,1,0,0,0
1,27,1,2,0,0,0,0
1,61,1,15,0,0,0,0
0,44,0,14,1,0,0,0
1,26,0,1,2,0,0,0
0,29,1,12,39,0,0,0
0,33,0,1,1,0,0,0
0,45,0,38,121,0,0,0
0,31,0,9,0,0,0,0
0,23,1,3,1,0,0,7
0,36,0,4,2,0,1,0
0,28,0,8,40,0,1,0
0,23,0,3,1,0,0,0
0,24,1,0,0,0,0,0
0,43,1,4,47,0,0,0
0,26,0,27,10,0,2,2
1,26,0,0,6,0,0,0
1,28,1,7,6,0,0,0
0,34,1,3,1,0,0,0
0,21,0,1,49,0,0,0
1,27,0,4,0,0,0,0
0,28,0,2,2,0,0,0
1,31,1,2,1,0,0,2
0,25,0,4,0,0,0,0
0,21,1,0,0,0,0,0
0,37,1,11,0,0,0,0
0,25,0,6,0,0,3,1
0,30,1,6,6,0,0,0
0,38,1,17,180,0,0,0
0,21,0,0,1,0,0,0
0,59,1,1,0,0,0,0
0,26,1,4,2,0,0,0
0,43,0,0,1,0,0,0
0,23,1,4,2,0,1,0
0,27,0,4,-1,0,0,0
0,33,0,1,3,0,0,0
0,38,0,10,0,0,1,0
0,32,0,7,37,0,0,0
0,44,0,9,25,0,0,0
1,22,0,0,0,0,0,5
0,47,0,19,212,0,0,1
0,23,0,4,0,0,0,0
1,35,1,3,0,0,1,0
0,50,0,13,242,0,0,0
0,30,1,0,37,0,0,0
0,31,1,6,1,0,0,0
0,24,0,1,0,0,0,1
0,32,0,10,3,0,3,0
0,32,1,15,70,2,0,1
1,25,1,1,0,0,0,0
0,23,0,3,53,0,0,0
0,59,1,17,23,0,0,0
0,27,0,2,0,0,0,0
0,28,1,14,0,0,0,0
0,60,0,19,39,0,0,0
0,31,1,11,0,0,0,0
0,26,0,11,1,0,1,1
0,55,1,11,57,0,0,0
0,30,0,18,17,0,3,0
0,57,1,14,19,0,0,0
0,45,0,0,0,0,0,0
0,21,1,0,0,0,0,0
1,19,1,2,22,0,0,0
0,47,0,4,0,0,0,0
0,67,0,8,1,0,0,0
0,32,1,1,0,0,0,0
1,22,0,0,7,0,0,0
0,31,1,5,1,0,0,0
0,26,1,9,1,0,0,0
0,67,1,1,0,0,0,0
0,40,1,0,22,0,0,0
0,71,1,13,0,0,0,0
0,27,0,13,14,0,2,1
0,21,0,1,29,0,0,0
0,21,0,1,2,0,0,0
0,35,0,5,225,0,0,0
0,32,0,24,2,1,3,0
0,37,1,0,1,0,0,0
0,22,0,0,0,0,0,0
1,30,1,1,0,0,0,0
0,36,1,11,2,0,0,0
0,42,0,17,51,0,0,0
0,24,0,6,1,0,0,0
0,41,0,7,1,0,0,1
0,25,0,2,0,0,0,0
0,36,0,11,0,0,0,0
0,35,0,4,29,0,0,0
0,21,0,1,0,0,0,0
0,35,1,1,4,0,0,0
0,31,0,11,-1,0,0,2
0,47,0,5,0,0,0,0
0,39,1,0,3,0,0,0
0,22,1,0,0,0,0,3
0,35,1,0,40,0,0,0
0,30,0,3,206,0,0,0
1,42,0,2,1,0,0,0
1,24,0,3,2,0,0,0
0,27,0,10,1,0,0,0
1,29,1,3,0,0,0,0
0,31,0,2,-1,0,0,0
0,24,0,6,1,0,0,0
0,38,0,9,2,0,0,0
0,22,1,2,0,0,0,0
0,49,1,3,34,0,0,0
0,23,0,4,0,0,0,2
1,45,1,1,1,0,0,0
0,34,0,21,33,2,1,3
0,20,0,1,1,0,0,0
0,30,0,11,0,0,2,2
0,39,1,3,1,0,0,0
0,21,0,0,34,0,0,0
0,27,0,2,0,0,0,0
1,42,1,4,4,0,0,0
0,28,0,6,0,0,0,0
0,20,1,0,0,0,0,0
0,21,0,0,1,0,0,0
0,25,0,7,18,0,0,0
0,29,0,7,1,0,0,0
0,22,0,1,0,0,0,1
0,21,0,0,1,0,0,0
0,27,1,3,3,0,0,0
0,31,1,4,5,0,0,0
0,33,0,12,2,0,0,1
0,26,0,1,0,0,0,0
0,25,1,4,183,0,0,0
0,46,1,10,73,0,0,0
0,34,1,13,18,0,0,0
0,23,0,1,3,0,0,0
0,34,1,11,1,0,0,0
1,22,1,0,2,0,0,0
0,28,0,4,21,0,0,0
0,28,0,10,20,0,0,0
0,34,0,1,1,0,0,0
0,29,0,8,2,0,1,1
0,26,0,1,0,0,0,0
1,35,0,7,1,0,0,0
0,39,1,0,2,0,0,0
0,33,0,5,5,0,0,0
0,27,0,15,1,1,1,2
0,27,1,2,0,0,0,0
0,27,0,8,49,0,0,0
0,67,1,2,0,0,0,0
0,26,1,0,1,0,0,0
0,20,0,0,0,0,0,0
0,30,0,14,64,0,0,0
0,45,1,2,358,0,0,0
0,27,0,6,30,0,1,0
0,28,0,7,1,1,0,0
1,34,0,0,1,0,0,0
0,22,0,2,6,0,0,0
0,26,0,5,3,0,0,0
1,29,1,10,7,0,1,0
0,26,0,13,-1,0,1,0
0,22,0,3,323,0,0,1
0,30,0,7,38,0,1,0
1,29,1,11,34,0,0,0
0,37,0,0,0,0,0,0
0,24,0,1,1,0,0,0
0,23,1,3,244,0,0,1
1,31,0,10,1,0,2,0
0,26,0,2,4,0,0,0
1,43,1,7,8,0,0,0
0,21,0,0,7,0,0,0
0,22,0,0,0,0,0,0
0,22,1,1,0,0,0,0
0,58,1,8,1,0,0,0
0,31,0,5,0,1,0,0
0,25,0,0,7,0,0,0
0,22,0,0,1,0,0,1
0,28,0,1,0,0,0,0
0,22,0,2,1,0,0,0
0,27,0,4,33,0,0,0
0,21,0,0,1,0,0,0
0,32,1,15,90,0,1,0
0,26,0,1,0,0,0,0
0,33,0,8,2,0,0,0
0,22,0,1,21,0,0,0
0,33,0,4,17,0,0,0
0,29,0,6,0,0,0,0
0,26,0,4,0,0,0,0
0,27,0,7,34,0,0,0
0,24,0,3,-1,0,0,1
0,30,0,18,61,0,1,1
1,20,1,0,0,0,0,0
0,29,0,17,1,0,0,1
0,58,0,16,68,0,0,0
0,26,0,24,85,1,3,0
0,25,0,7,3,0,0,1
0,30,0,15,93,0,0,0
0,57,0,8,-1,0,0,0
0,30,1,3,65,0,1,1
0,30,0,3,0,0,0,0
0,21,0,0,1,0,0,0
0,33,0,2,258,0,0,0
0,31,0,10,181,0,0,1
1,66,0,11,5,0,0,0
0,35,1,4,169,0,0,0
0,22,0,2,0,0,0,1
0,26,0,2,-1,0,0,0
0,37,1,3,38,0,0,0
0,34,0,1,1,0,0,0
0,28,0,2,2,0,0,0
0,28,0,11,26,2,1,0
0,29,0,8,0,0,1,0
0,28,0,21,1,0,2,0
0,43,1,1,69,0,0,0
0,31,1,9,116,0,0,0
0,24,0,14,180,0,4,0
0,28,0,10,243,0,1,0
0,26,0,1,0,0,0,0
1,53,0,10,4,0,0,0
0,22,0,0,1,0,0,0
0,23,0,2,5,0,0,0
1,21,1,0,2,0,0,0
0,48,1,6,5,0,0,0
0,31,0,6,25,2,0,0
0,22,0,5,19,0,0,0
0,26,1,4,293,0,0,0
1,50,0,7,1,0,0,0
0,29,0,7,4,0,2,0
0,27,0,15,48,0,0,0
0,26,1,5,35,0,0,0
0,24,0,1,33,0,1,0
0,27,1,6,1,0,1,3
0,27,0,25,40,0,0,0
0,39,0,6,35,0,0,1
0,20,1,0,1,0,0,0
0,36,0,14,2,1,2,0
0,43,1,5,0,0,0,0
0,30,0,0,0,0,0,0
0,28,1,0,1,0,0,0
0,37,0,0,0,0,0,0
0,58,1,10,0,0,0,0
0,23,0,4,192,0,1,0
0,39,1,3,2,0,0,0
0,24,0,0,4,0,0,0
0,27,0,3,37,0,0,0
0,24,0,10,0,5,1,0
0,31,1,5,0,0,0,0
0,45,0,16,1,1,0,0
0,25,0,0,9,0,0,0
0,23,0,2,2,0,0,1
0,32,0,7,5,0,3,0
0,50,1,10,0,0,0,0
0,21,1,1,11,0,0,0
0,28,0,5,34,0,0,0
1,49,0,14,122,0,0,0
0,25,0,7,20,0,1,0
0,39,0,10,40,0,4,0
0,32,1,2,5,0,0,0
0,57,1,1,0,0,0,0
0,52,0,3,24,0,0,0
1,47,1,28,117,0,0,0
0,43,1,11,76,0,0,0
0,41,0,18,299,1,0,0
1,52,1,6,6,0,0,0
0,29,1,3,1,0,0,0
0,27,0,10,7,0,0,0
0,45,0,13,0,0,0,0
0,23,0,1,3,0,0,0
1,43,1,0,1,0,0,0
1,27,0,3,0,0,0,0
0,36,0,2,46,0,0,0
0,29,0,3,1,0,0,0
1,20,0,0,4,0,0,0
0,21,1,0,0,0,0,0
0,26,0,9,79,0,0,0
0,22,0,1,15,0,0,0
0,36,0,9,3,0,0,0
0,28,0,0,5,0,0,0
0,52,0,0,4,0,0,0
0,24,0,1,0,0,0,1
0,23,0,3,1,0,0,0
0,38,1,5,0,0,0,0
0,27,0,11,2,0,0,0
0,29,1,3,0,0,0,0
0,37,0,6,20,0,0,0
0,57,0,12,50,0,0,0
0,27,0,13,1,0,0,0
0,33,0,4,7,0,0,0
1,24,1,0,36,0,0,0
0,58,0,21,59,0,0,0
0,19,0,1,9,0,0,0
0,31,0,3,0,0,1,0
0,50,1,4,26,0,0,0
0,57,0,19,117,0,0,0
0,28,1,4,1,1,1,1
0,27,1,0,0,0,0,0
0,21,1,0,-1,0,0,0
0,30,1,2,0,0,0,0
0,31,1,11,11,0,0,0
0,23,0,2,0,0,1,0
0,30,0,4,1,0,0,0
1,26,1,3,0,0,0,0
0,41,0,19,220,0,0,0
0,28,0,25,25,0,0,0
0,37,1,7,69,0,0,0
0,27,0,4,1,0,0,0
0,31,0,7,1,0,0,0
1,22,0,4,2,0,0,0
0,24,1,3,1,0,0,0
1,21,0,0,1,0,0,0
0,61,0,11,1,0,0,0
0,35,0,14,0,0,1,0
0,25,0,2,1,1,0,0
1,19,0,0,1,0,0,0
0,45,1,3,1,0,0,0
0,35,0,12,0,0,0,0
0,48,1,0,0,0,0,0
0,29,0,8,6,1,0,0
1,42,0,16,24,0,0,0
0,32,0,4,1,0,0,0
0,33,0,16,33,0,0,0
0,26,0,5,0,0,0,1
0,32,0,14,2,0,0,0
0,20,0,0,0,0,0,0
0,18,0,4,23,5,0,2
1,23,1,0,11,0,0,0
0,34,0,1,1,0,0,0
0,24,0,1,57,0,0,0
0,27,0,9,799,0,0,1
0,25,0,8,29,0,0,0
0,28,1,9,0,0,1,0
0,23,0,1,35,0,0,0
0,36,1,0,36,0,0,0
0,47,0,13,0,0,0,0
0,53,0,18,41,0,0,0
0,31,0,9,27,0,0,0
0,26,1,2,3,0,0,0
0,47,1,0,1,0,0,0
0,21,0,2,36,1,0,1
0,21,0,1,0,1,0,0
0,43,0,0,41,0,0,0
0,27,1,5,6,0,0,0
0,25,1,5,14,0,0,1
0,23,0,2,7,0,0,0
0,35,0,4,353,0,0,0
0,28,1,6,1,0,0,0
0,28,1,1,0,0,0,0
0,34,1,9,1,1,0,0
0,42,0,1,7,0,0,0
0,31,0,23,55,0,0,0
0,31,0,10,4,5,0,0
0,25,1,4,33,0,0,0
0,25,0,0,34,0,0,0
1,25,1,2,0,0,0,0
0,24,0,1,1,0,0,0
1,44,1,0,0,0,0,0
0,25,0,6,1,0,0,1
0,38,0,17,1,0,0,0
1,65,1,1,-1,0,0,0
0,22,0,3,1,0,1,1
0,31,0,1,0,0,0,0
0,25,0,5,49,0,0,0
0,20,1,1,40,1,0,0
0,32,0,12,1,0,1,3
1,49,1,2,10,0,0,0
0,24,1,0,0,0,0,0
1,27,0,1,26,1,0,0
0,25,1,4,5,0,0,0
0,32,1,3,120,0,0,0
0,31,0,4,2,0,0,0
0,30,0,11,1,0,0,0
0,45,1,0,37,0,0,0
0,31,1,4,29,0,0,0
0,23,0,2,7,0,0,0
0,48,1,20,46,0,0,0
0,33,0,0,40,0,0,0
0,28,0,1,0,0,0,0
0,48,0,9,3,0,0,0
0,23,1,4,7,0,1,0
0,44,0,7,1,0,0,0
0,45,1,9,54,0,0,0
0,26,0,3,205,0,3,0
0,32,0,9,0,0,0,4
0,23,0,6,1,0,0,0
0,41,0,19,48,0,0,0
0,20,0,0,0,0,0,0
0,22,1,0,0,0,0,0
0,33,0,3,11,0,0,0
0,24,1,0,0,0,0,0
0,27,0,5,37,0,0,0
1,51,0,7,1,0,0,0
0,20,0,1,1,1,0,1
0,25,0,11,29,0,0,0
0,26,1,2,0,0,0,0
0,24,0,1,1,0,0,0
0,31,0,8,0,0,0,0
0,22,0,0,0,0,0,0
0,19,1,1,32,0,0,1
0,64,0,0,4,0,0,0
0,29,0,7,1,0,0,0
0,31,1,5,1,0,0,0
0,33,0,7,78,0,0,0
0,32,0,22,0,0,0,1
1,49,1,1,1,0,0,0
0,43,0,15,0,0,0,0
0,29,0,1,0,0,0,0
1,20,0,1,3,0,0,0
0,30,0,8,54,1,0,2
0,21,0,5,1,0,0,0
0,21,0,0,1,0,0,0
0,22,0,3,214,0,0,0
0,25,0,0,7,0,0,0
0,21,0,0,0,0,0,1
0,48,1,23,360,1,0,0
0,24,0,5,-1,0,0,0
0,30,0,21,1,0,2,0
0,24,0,3,1,0,0,1
0,25,1,4,1,0,0,2
0,27,0,13,2,0,0,0
0,30,1,1,0,0,0,0
0,39,1,0,0,0,0,0
0,20,0,0,1,0,0,0
0,24,0,2,10,0,0,1
0,44,1,11,180,0,0,0
0,38,1,5,1,0,0,0
0,21,0,0,5,0,0,0
0,23,0,1,0,0,0,1
0,26,1,9,1,0,0,0
1,36,1,7,7,0,0,0
1,26,0,3,27,0,0,0
0,24,0,2,0,0,0,0
0,22,0,0,1,0,0,0
0,22,0,0,0,0,0,0
0,34,1,3,1,0,0,0
0,33,1,10,117,0,0,0
0,58,1,5,2,0,0,0
0,23,0,3,0,0,0,0
0,20,0,1,0,0,0,1
0,25,1,3,7,0,0,1
0,26,1,0,1,0,0,0
1,26,0,3,0,0,0,0
0,30,0,13,2,0,2,2
1,19,1,0,1,0,0,0
1,38,1,1,16,0,0,0
0,23,0,3,1,0,0,0
0,30,1,0,1,0,0,0
1,44,1,1,1,0,0,0
0,54,1,3,2,0,0,0
0,46,1,7,36,0,0,0
0,50,0,24,32,0,0,2
1,21,0,4,0,0,3,1
0,60,0,12,1,0,0,0
0,21,0,0,1,0,0,0
0,65,1,3,23,0,0,0
0,35,0,13,0,3,0,0
0,31,1,0,38,0,0,0
0,27,0,3,6,0,0,0
0,30,1,0,1,0,0,0
1,43,0,6,0,0,0,0
0,24,0,2,24,0,0,2
0,27,1,0,0,0,0,0
1,31,1,1,0,0,0,0
0,21,0,0,1,0,0,0
0,55,1,3,36,0,0,0
0,29,1,7,27,0,0,1
0,23,0,3,1,1,0,0
0,27,0,0,5,0,0,0
0,36,0,17,15,0,2,0
0,28,0,6,0,0,0,0
0,39,0,1,0,0,0,0
1,26,1,3,1,0,0,0
0,24,0,2,0,0,0,0
0,51,0,14,7,0,0,0
1,30,1,7,17,0,0,0
0,35,1,1,74,0,0,0
0,21,1,0,-1,0,0,0
0,39,0,13,1,0,1,0
0,30,1,3,12,0,0,0
0,32,1,1,1,0,0,0
1,31,1,14,0,0,0,2
0,20,0,0,0,0,0,0
0,27,0,4,1,0,0,0
0,22,1,2,3,0,0,0
0,35,0,8,239,0,1,0
0,29,0,6,26,3,0,0
1,19,0,0,1,0,0,0
0,24,0,2,0,0,0,0
0,21,0,0,0,0,0,1
0,36,0,9,0,0,0,0
0,28,1,4,190,0,0,0
0,42,1,4,17,0,0,0
0,33,0,12,1,4,0,0
0,22,0,0,7,0,0,2
0,21,1,2,77,0,0,0
0,24,0,7,2,2,0,0
0,31,0,16,0,3,0,0
0,21,0,1,22,0,0,0
0,57,0,20,33,0,0,0
0,36,1,0,24,0,0,0
0,22,0,1,43,0,0,0
0,21,1,4,33,0,1,0
1,28,0,9,12,0,0,0
0,22,0,1,0,0,0,0
0,29,0,8,13,0,0,0
0,26,0,5,6,0,1,2
1,21,0,0,1,0,0,0
0,22,0,0,1,0,0,0
0,24,1,3,35,0,0,0
0,30,0,9,8,0,1,0
0,46,1,26,167,0,0,0
0,24,0,3,0,0,0,0
0,30,0,8,64,0,0,0
1,47,0,21,21,0,1,1
0,21,1,0,7,0,0,0
0,30,0,0,0,0,0,0
0,24,0,7,1,0,1,1
0,36,0,10,32,0,0,0
0,28,0,9,43,0,0,0
1,28,1,2,0,0,0,0
0,35,0,8,10,0,0,1
0,31,0,6,41,0,0,0
0,37,0,4,1,0,0,0
0,31,0,25,117,0,3,0
0,34,0,21,5,1,0,0
0,41,0,14,0,0,0,0
